1	●	23 - troy	300	300	300	276	300	290	282	300	276		2072	 	6	1	2
2	●	82 - [TC-R] Pete	288	276	282	279	282	284	288	288	288		2000	 	0	7	2
3	●	85 - HoR Schuhti	228	282	276	261	288	290	0	270	270		1937	 	2	1	2
4	▲	76 - [TC-R] Simon	252	270	180	285	246	262	276	276	282		1903	 	1	0	2
5	▼	15 - Botsi	276	288	240	294	264	0	0	282	204		1848	 	1	2	1
6	●	22 - [TC-R] Spencer	264	264	264	237	252	272	246	264	264		1844	 	0	0	1
7	●	48 - eX.R Asco	156	234	270	273	240	242	252	246	246		1769	 	0	0	1
8	●	42 - Adam	240	204	234	249	258	238	270	0	0		1693	 	0	0	0
9	●	27 - [TC-R] Nick	216	258	216	252	270	214	240	0	174		1666	 	0	0	0
10	●	26 - HoR Ethi	0	210	204	237	276	146	264	0	258		1595	 	1	1	0
11	●	10 - HoRMensafest	198	198	180	105	0	248	234	252	228		1538	 	0	0	2
12	▲	83 - [TC-R] Elmo	162	0	162	207	234	212	222	198	240		1475	 	0	0	0
13	▲	57 - ABR Daniel	192	186	174	204	222	198	0	204	216		1422	 	0	0	0
14	▲	96 - RG^Rony	174	0	156	153	198	174	210	234	252		1398	 	0	0	1
15	▲	37 - RG^Mandula	144	192	192	123	216	246	192	0	210		1392	 	0	0	0
16	▼	35 - -[BC]- Jan-Ole	168	192	192	99	210	140	228	258	0		1388	 	0	0	0
17	▲	79 - Ardeeé	X	X	210	210	210	140	300	0	300		1370	 	8	0	0
18	▼	04 - [WCL]J.A.Katila	150	198	222	0	204	204	216	0	168		1362	 	0	0	0
19	▼	73 - eX.R Blacky	234	0	210	249	228	140	198	0	0		1259	 	0	0	0
20	▼	36 - -[BC]- Berndi	132	168	162	96	192	200	156	228	0		1238	 	0	1	2
21	▲	24 - johneysvk	0	126	144	180	150	176	180	174	222		1226	 	0	0	0
22	▲	31 - [WCL] T.Soini	150	102	150	168	162	142	0	186	186		1144	 	0	0	0
23	▲	63 - 63 Dietmar	162	132	96	99	156	180	0	216	192		1137	 	0	0	1
24	▼	58 - -[BC]- Jens	0	150	132	81	168	180	186	222	0		1119	 	0	0	0
25	▼	05 - -[BC]- HaiTauR	126	156	114	150	144	0	162	210	0		1062	 	0	0	0
26	▲	21 - [TC-R] Luke	210	180	0	117	0	272	0	0	0		779	 	1	0	0
27	▼	06 - Jiqonix	X	X	X	X	204	130	258	240	-60		772	 	0	2	0
28	●	70 - 70-ABR Gutholz	120	96	102	153	0	132	168	0	0		771	 	0	0	0
29	●	20 - RTSW ICE	0	114	126	171	174	158	0	0	0		743	 	0	0	0
30	●	77 - -[BC]- Grundi	102	138	84	0	138	136	0	0	0		598	 	0	0	0
31	▲	08 - RTSW Airwolf	114	120	90	165	0	0	0	0	0		489	 	0	0	0
32	▲	53 - KRT Ken Johansen	108	0	0	0	0	0	0	0	-60		48	 	0	0	0
